NÚM_REGISTRE,NOM_ENTITAT,ADREÇA,CP,MUNICIPI,COMARCA,TELÈFON_FAX,CORREU_ELECTRÒNIC,TIPUS_ENTITAT,MODALITATS
A00041,APA IN ENSEÑANZA JUAN BOSCAN,"d'Esplugues, 40",08034,Barcelona,Barcelonès,93-2038386 /,,AMPA,Activitats físico-esportives
A00042,APA BORDETA-SAN MEDIN,"Almería, 57",08014,Barcelona,Barcelonès,/,,AMPA,Activitats físico-esportives
A00043,APA COLEGIO CASA DE LA SANTA CRUZ,"Valldaura, s/n",08016,Barcelona,Barcelonès,93-3506500 /,,AMPA,Activitats físico-esportives
A00044,APA COLEGIO NACIONAL WAGNER,"Wagner, 19",08923,Santa Coloma de Gramenet,Barcelonès,93-3920502 /,,AMPA,"Basquetbol, Escacs, Futbol, Futbol sala (Futbol cinc), Judo, Tennis taula"
A00045,APA CP PIRINEUS,"Pirineus, 5-7",08923,Santa Coloma de Gramenet,Barcelonès,/,,AMPA,Activitats físico-esportives
A00046,APA CP NTRA. SRA. DESAMPARADOS,"Santiago Apostol, 24",08903,"Hospitalet de Llobregat, l'",Barcelonès,/,,AMPA,Activitats físico-esportives
A00047,APA CP EGB VICENTE ALEIXANDRE,"Mancomunidades Comarcales, 7",08760,Martorell,Baix Llobregat,/,,AMPA,"Atletisme, Basquetbol, Escacs, Futbol sala (Futbol cinc), Handbol, Minibàsquet  (Bàsquet), Natació, Tennis taula, Voleibol"
A00048,APA COLEGIO VERGE ALDAMA,"Marqués de Campo Sagrado, 12-14",08015,Barcelona,Barcelonès,/,,AMPA,"Atletisme, Basquetbol, Futbol, Gimnàstica, Tennis taula"
A00049,APA DEL COLEGIO JUAN DE LA PALA,"Bisbe Guix, s/n -LA COROMINA-",08261,Cardona,Bages,93-8692185 /,,AMPA,Activitats físico-esportives
A00050,APA CN FERNANDO DE SEGARRA,"Jacinto Verdaguer, 18",08923,Santa Coloma de Gramenet,Barcelonès,93-3862226 /,,AMPA,"Basquetbol, Futbol"
A00051,APA COLEGIO JESUS MARIA DE BADALONA,"Lepanto, 3",08914,Badalona,Barcelonès,93-4270125 /,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Handbol, Minibàsquet  (Bàsquet)"
A00052,APA CN BERNARDO BOIL,"Mollerussa, 5",08030,Barcelona,Barcelonès,93-3456947 /,,AMPA,Activitats físico-esportives
A00053,APA ESCUELA SAGRADO CORAZON,"Aldana, 1",08015,Barcelona,Barcelonès,93-2410296 /,,AMPA,Activitats físico-esportives
A00054,APA COL·LEGI SANTA ISABEL,"Sacedón, 14-16",08032,Barcelona,Barcelonès,/,,AMPA,Activitats físico-esportives
A00055,APA CN FRANCISCO DE GOYA,"Garriga i Roca, s/n",08032,Barcelona,Barcelonès,/,,AMPA,Activitats físico-esportives
A00056,ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO DE LA PRESENTACION,"Pare Fita, 94",08350,Arenys de Mar,Maresme,93-7920241 /,,AMPA,"Atletisme, Basquetbol, Futbol sala (Futbol cinc), Natació, Patinatge sobre rodes, Tennis taula"
A00057,FEDERACIO D'ASSOCIACIONS DE SORDS DE CATALUNYA,"Empordà, 33  7. Despatxs 7.8,7.9,7.10",08031,Barcelona,Barcelonès,93-2780294 /,,Associacions civils i culturals,"Acrobàcia (sords), Activitats Subaquàtiques (sords), Aeromodelisme (sords), Aerostació (sords), Escacs, Esquaix, Esquí alpí, Futbol sala (Futbol cinc), Petanca, Tennis taula, Tir amb arc"
A00058,APA CP MIXTO BAIXERAS,"Via Laietana, 11",08003,Barcelona,Barcelonès,93-3105295 /,,AMPA,"Futbol, Futbol sala (Futbol cinc), Gimnàstica, Natació"
A00059,APA COL·LEGI SAN JOSE CARMELITAS MISIONERAS,"Montseny, 31-39",08012,Barcelona,Barcelonès,93-2372019 /,,AMPA,"Basquetbol, Karate, Natació"
A00060,APA COLEGIO ALMI,"Anselmo Clavé, 33 2n..",08330,Sant Boi de Llobregat,Baix Llobregat,93-6610814 /,,AMPA,"Basquetbol, Escacs, Futbol"
A00061,APA CN MIXTO PROVENÇANA,"Marti i Codolar, 46-50",08902,"Hospitalet de Llobregat, l'",Barcelonès,/,,AMPA,Activitats físico-esportives
A00062,APA ACADEMIA LLORET SANTS,"Sants, 99",08014,Barcelona,Barcelonès,/,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Tennis taula"
A00063,APA CN FELICIANO XARAU,"Santa Ana, 57",08290,Cerdanyola del Vallès,Vallès Occidental,93-6926404 /,,AMPA,Activitats físico-esportives
A00064,APA ESCOLA L'ESPERANÇA,"Quito, 1",08030,Barcelona,Barcelonès,93-3457745 /,,AMPA,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Tennis taula"
A00065,APA COLEGIO SAN FRANCISCO ASIS,"Flandes, 4",08023,Barcelona,Barcelonès,/,,AMPA,Activitats físico-esportives
A00066,APA CN NUMANCIA,"Prat de la Riba, 118",08921,Santa Coloma de Gramenet,Barcelonès,93-3912053 /,,AMPA,"Basquetbol, Escacs, Futbol, Futbol sala (Futbol cinc)"
A00067,APA ESCOLES PIAS D'IGUALADA,"Castells, 10",08700,Igualada,Anoia,/,,AMPA,"Atletisme, Basquetbol, Futbol, Futbol sala (Futbol cinc), Handbol, Hockey"
A00068,APA ESCOLA MIXTA VILANOVA DE LA BARCA,"Nova, 4",25690,Vilanova de la Barca,Segrià,973-190005 /,,AMPA,"Atletisme, Basquetbol, Curses en pista (Atletisme), Futbol sala (Futbol cinc), Handbol, Tennis taula, Voleibol"
A00069,APA CN JOAN XXIII,"Gaspar, s/n",08921,Santa Coloma de Gramenet,Barcelonès,93-3917552 /,,AMPA,Activitats físico-esportives
A00070,APA COL·LEGI MIXTE SANT JOAN DE TORRUELLA,"Urbanització Llobet, s/n",08250,Sant Joan de Vilatorrada,Bages,/,,AMPA,Activitats físico-esportives
A00071,APA AGRUPACION ESCOLAR LUMEN-SAILE,"Anselmo de Riu,  90",08924,Santa Coloma de Gramenet,Barcelonès,/,,AMPA,Activitats físico-esportives
A00072,APA IB NARCIS MONTURIOL,"Harmonia-Bdo. Montbau, s/n",08035,Barcelona,Barcelonès,93-3570796 /,,AMPA,Activitats físico-esportives
A00073,APA INSTITUTO MARTI FRANQUES,"Pio XII, s/n",43005,Tarragona,Tarragonès,977-210214 /,,AMPA,"Basquetbol, Escacs, Futbol sala (Futbol cinc), Handbol, Tennis taula, Voleibol"
A00074,APA COL·LEGI SANTO DOMINGO GUZMAN,"de Colon, 16",43001,Tarragona,Tarragonès,/,,AMPA,"Basquetbol, Gimnàstica, Natació"
A00075,APA CP MARE DE DEU DEL CARME,"Pompeu Fabra, 3",43440,"Espluga de Francolí, l'",Conca de Barberà,/,,AMPA,"Atletisme, Basquetbol, Escacs, Futbol, Futbol sala (Futbol cinc), Tennis taula"
A00076,AAVV SANT JORDI,"Matagalls, 7-9",08820,"Prat de Llobregat, el",Baix Llobregat,/,,Associacions civils i culturals,Activitats físico-esportives
A00077,APA CN MIXTO LES TERMES,"Illa Bella, s/n",08202,Sabadell,Vallès Occidental,93-7106594 /,,AMPA,Basquetbol
A00078,APA COLEGIO JESUS MARIA (GUINEUETA),"Caçadors, 6",08031,Barcelona,Barcelonès,93-4270125 /,,AMPA,Activitats físico-esportives
A00079,APA INB DE MASNOU,"Rosa Sensat, 1",08320,"Masnou, el",Maresme,93-5550062 /,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Voleibol"
A00080,APA COL·LEGI ESCOLA SANT CLIMENT,"del Mixerris, s/n",08849,Sant Climent de Llobregat,Baix Llobregat,/,,AMPA,"Basquetbol, Ciclisme, Ciclocròs, Futbol sala (Futbol cinc), Minibàsquet  (Bàsquet)"
A00081,APA CN MIXTO POLIGONO LA GRANJA,"Polígon la Granja, s/n",08820,"Prat de Llobregat, el",Baix Llobregat,93-3703103 /,,AMPA,"Atletisme, Basquetbol, Escacs, Futbol sala (Futbol cinc), Handbol, Natació, Patinatge sobre rodes, Taekwon-do"
A00082,APA MAESTROS CP FONT DELS EUCALIPTUS,"Escolapi Cancer, s/n",08033,Barcelona,Barcelonès,93-3591857 /,,AMPA,Futbol
A00083,APA CN NTRA.SRA. DE BELLVITGE,"Prado, 91",08907,"Hospitalet de Llobregat, l'",Barcelonès,93-3351139 /,,AMPA,"Basquetbol, Escacs, Futbol sala (Futbol cinc), Gimnàstica, Gimnàstica artística, Handbol, Lluita lliure olímpica, Voleibol"
A00084,APA CP SEAT DE BARCELONA,"Zona Franca, 181 1r. 2a.",08004,Barcelona,Barcelonès,/,,AMPA,"Basquetbol, Futbol sala (Futbol cinc)"
A00085,AAVV BARRIO DE SAN CRISTOBAL,"Energia, lletra H 3r 2a",08004,Barcelona,Barcelonès,93-4211976 /,,Associacions civils i culturals,Basquetbol
A00086,ASSOCIACIO DE PARES I MARES D'ALUMNES DEL CEIP LA CANONJA,"Carrasco i Formiguera, 8",43110,"Canonja, La",Tarragonès,977-541540 / 977-545627,,Seccions Esportives escolars,Basquetbol
A00087,APA ACADEMIA MANENT RAMBLA,"Rafael Casanova, 80-82",08921,Santa Coloma de Gramenet,Barcelonès,93-3861301 /,,AMPA,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Minibàsquet  (Bàsquet)"
A00088,ASSOCIACIO DE MARES I PARES D'ALUMNES DEL CEIP MIGUEL DE UNAMUNO,"Àngel Guimerà, 10-12",08923,Santa Coloma de Gramenet,Barcelonès,933868262 / 933868262,ampaunamuno@hotmail.com,Seccions Esportives escolars,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Natació, Tennis taula"
A00089,APA COL·LEGI ESTATAL DE E.G.B. RAMON CASAS,"Alumini, s/n",08004,Barcelona,Barcelonès,93-3315284 /,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Judo, Natació"
A00090,APA CN SANT PERE I SANT PAU,Urb. Sant Pere i Sant Pau,43007,Tarragona,Tarragonès,977-228562 /,,AMPA,"Atletisme, Basquetbol, Escacs, Futbol sala (Futbol cinc), Judo, Minibàsquet  (Bàsquet), Minivolei  (voleibol ), Natació, Tennis taula, Voleibol"
A00091,ASSOCIACIO DEL PERSONAL DE LA CAIXA D'ESTALVIS I PENSIONS BARCELONA,"Teodor Roviralta, 65",08029,Barcelona,Barcelonès,93-23111544 /,info@lasoci.org,Associacions civils i culturals,"Atletisme, Basquetbol, Billar, Bitlles, Ciclisme, Esquaix, Esquí alpí, Frontennis, Futbol, Futbol Set, Futbol sala (Futbol cinc), Golf, Handbol, Kàrting, Motonàutica, Muntanya (automobilisme), Padel, Pesca Esportiva, Petanca, Pitch and Putt/Pitch&Putt, Tennis, Tennis taula, Vela, Voleibol"
A00092,PROMOTORA CENTROS ESPLAI BELLVITGE,"RBLA. MARINA, 161-177",08907,"Hospitalet de Llobregat, l'",Barcelonès,93-3354000 /,,Associacions civils i culturals,"Basquetbol, Escacs, Futbol sala (Futbol cinc), Hockey, Tennis taula, Voleibol"
A00093,CIRCULO CATOLICO DE BADALONA,"Sant Anastasi, 2",08911,Badalona,Barcelonès,93-3844556 /,,Associacions civils i culturals,"Basquetbol, Escacs, Futbol, Futbol sala (Futbol cinc)"
A00094,APA INB JOAQUIM RUBIO I ORS,"Pau Claris, 4",08330,Sant Boi de Llobregat,Baix Llobregat,/,,AMPA,Basquetbol
A00095,APA CN CN FENIX,"Calafell, s/n",08330,Sant Boi de Llobregat,Baix Llobregat,/,,AMPA,Activitats físico-esportives
A00096,AAVV BACHS-BUFALA,"Iberia, 10",08915,Badalona,Barcelonès,93-3838337 /,,Associacions civils i culturals,"Basquetbol, Petanca"
A00097,APA COL·LEGI SIERVAS DE SAN JOSE,"República Argentina, 85",08023,Barcelona,Barcelonès,93-2155606 /,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Gimnàstica, Natació"
A00098,COREFO SDAD.COOP.CAT.LIMITADA,"AV. CATALUNYA, 74",08150,Parets del Vallès,Vallès Oriental,/,,Cooperatives,"Escacs, Futbol sala (Futbol cinc), Gimnàstica, Natació, Petanca, Tennis, Tennis taula"
A00099,APA LA SALLE CONGRESO,"Cardenas Tedeschini, 50",08027,Barcelona,Barcelonès,93-3493304 /,,AMPA,"Atletisme, Basquetbol, Escacs, Futbol, Futbol sala (Futbol cinc), Karate, Natació, Tennis taula, Voleibol"
A00100,APA CP ELS ALAMUS,de la Cruz de Alamos,25221,"Alamús, els",Segrià,/,,AMPA,"Atletisme, Basquetbol"
A00101,APA CN VENTURA GASSOL,"Cadí, s/n",08820,"Prat de Llobregat, el",Baix Llobregat,93-3702551 /,,AMPA,Activitats físico-esportives
A00102,APA INSTITUT SOCIAL DE LA JOVENTUT,"Alts Forne, s/n",08004,Barcelona,Barcelonès,/,,AMPA,Basquetbol
A00103,AAVV DE CAN JOFRESA,"Can Jofresa, local 53",08223,Terrassa,Vallès Occidental,/,,Associacions civils i culturals,Activitats físico-esportives
A00104,ASOCIACION CULTURAL DEPORTIVA GRUPOS EMPRESA,"Santa Coloma, 114-116",08030,Barcelona,Barcelonès,93-3115254 /,,Associacions civils i culturals,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Tennis"
A00105,CLAROR SOCIETAT COOPERATIVA,"Sardenya, 343",08025,Barcelona,Barcelonès,93-2074311 /,,Cooperatives,"Basquetbol, Futbol sala (Futbol cinc), Gimnàstica, Judo, Natació, Taekwon-do, Triatló"
A00106,APA COOPERATIVA ENSEÑANZA GARCIA MARQUEZ,"Maria Ward, 17",08913,Badalona,Barcelonès,/,,AMPA,"Basquetbol, Futbol"
A00107,APA COL·LEGI MARIA AUXILIADORA,"Sepúlveda, 65",08015,Barcelona,Barcelonès,93-3257712 /,,AMPA,Activitats físico-esportives
A00108,SICORIS CLUB,"Sicoris, 45",25001,Lleida,Segrià,973-204329 /,sicoris@sicorisclub.com,Associacions civils i culturals,"Atletisme, Basquetbol, Excursionisme, Frontennis, Futbol, Futbol sala (Futbol cinc), Gimnàstica ritmica, Halterofília, Natació, Padel, Patinatge sobre rodes, Petanca, Piragüisme, Tennis"
A00109,AGRUPACIO RECREATIVA-CULTURAL ALMACELLENCA,"Alberto Lleo, s/n",25100,Almacelles,Segrià,/,,Associacions civils i culturals,"Basquetbol, Excursionisme, Handbol, Voleibol"
A00110,APA COL·LEGI COR DE MARIA DE VALLS,"Cor de Maria, 2",43800,Valls,Alt Camp,977-601172 /,,AMPA,"Atletisme, Basquetbol, Minibàsquet  (Bàsquet)"
A00111,ASSOCIACIO DE MARES I PARES DEL CEIP MARE DE DEU DEL PORTAL,"Calvari, 25-32",43786,Batea,Terra Alta,977-430016 /,,Seccions Esportives escolars,Futbol
A00112,APA CP PRINCIPE DE VIANA III,"Dublín, s/n",08030,Barcelona,Barcelonès,93-3409404 /,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Minibàsquet  (Bàsquet)"
A00113,APA CP PRINCIPE DE VIANA II,"Dublín, s/n",08030,Barcelona,Barcelonès,/,,AMPA,"Basquetbol, Futbol sala (Futbol cinc), Minibàsquet  (Bàsquet)"
A00114,APA COLEGIO SAN ANTONIO MARIA CLARET,"Manuel Marine, 11-17",08940,Cornellà de Llobregat,Baix Llobregat,/,,AMPA,Basquetbol
A00115,ASSOCIACIO DE MARES I PARES D'ALUMNES DE L'ESCOLA SALVADOR NINOT,"Targa, 38",43424,Sarral,Conca de Barberà,977 89 01 08 /,ampadesarral@hotmail.com,Seccions Esportives escolars,Basquetbol
A00116,APA INB JOAN COROMINES,"Bordeta, 39-41",08014,Barcelona,Barcelonès,93-2241901 /,,AMPA,"Atletisme, Basquetbol, Futbol, Handbol"
A00117,APA COLEGIO PUBLICO GALILEO GALILEI,"Virgen de Montserrat, s/n",08820,"Prat de Llobregat, el",Baix Llobregat,93-3795566 /,,AMPA,"Basquetbol, Futbol, Futbol sala (Futbol cinc), Minibàsquet  (Bàsquet), Natació, Patinatge sobre rodes"
A00118,ASSOCIACIO DE PARES D'ALUMNES DEL CP ANTONI GAUDI,"Circunvalación, s/n",08923,Santa Coloma de Gramenet,Barcelonès,933867864 / 933867864,a8035519@xtec.cat,AMPA,"Activitats físico-esportives, Futbol sala (Futbol cinc), Handbol, Karate, Patinatge artístic"
A00119,APA COLEGIO SAGRADO CORAZON JESUS,"Mossen Cinto Verdaguer, 21",08304,Mataró,Maresme,/,,AMPA,Activitats físico-esportives
A00120,APA AMOR DE DIOS,"Teide, s/n",08031,Barcelona,Barcelonès,93-2293921 /,,AMPA,"Basquetbol, Futbol, Karate, Patinatge sobre rodes"
A00121,APA COLEGIO ACADEMIA LUJAN,"Selva de Mar, 251",08020,Barcelona,Barcelonès,93-3074845 /,,AMPA,Activitats físico-esportives
A00122,APA ESCUELA GRADUADA SAN RAFAEL,"Arrabal de San Rafael, 19",43470,"Selva del Camp, la",Baix Camp,/,,AMPA,"Basquetbol, Futbol sala (Futbol cinc)"
A00123,APA EXALUMNES ESCOLA GRADUADA VALLFOGONA,"Escoles, 2",25680,Vallfogona de Balaguer,Noguera,/,,AMPA,Activitats físico-esportives
A00124,APA COL·LEGI SANT JOSEP DE TARREGA,"Mare Vedruna, s/n",25300,Tàrrega,Urgell,973-310116 /,,AMPA,"Atletisme, Basquetbol, Futbol sala (Futbol cinc), Gimnàstica"
A00125,APA CP MASSALCOREIG,Nou,25184,Massalcoreig,Segrià,/,,AMPA,"Atletisme, Basquetbol, Futbol sala (Futbol cinc)"
A00126,APA COLEGIO JAIME I,"Pompeu Fabra, s/n",43560,"Sénia, la",Montsià,/,,AMPA,Activitats físico-esportives
A00127,ASSOCIACIO DE PARES D'ALUMNES DEL CP MARTI POCH,"Lluís Carulla, 61",43440,"Espluga de Francolí, l'",Conca de Barberà,977-870455 /,,Seccions Esportives escolars,"Atletisme, Basquetbol, Futbol sala (Futbol cinc), Voleibol"
A00128,APA DE L'ESCOLA VEDRUNA,"Barcelona, 21",17001,Girona,Gironès,972-202084 /,,AMPA,"Atletisme, Basquetbol, Gimnàstica, Voleibol"
A00129,GRUP ESCOLES MATARO,"AVILA, 9-43",08304,Mataró,Maresme,93-7989461 /,,Associacions civils i culturals,"Atletisme, Basquetbol, Futbol, Futbol sala (Futbol cinc), Pilota"
A00130,PENYA BARCA DE VALLS I L'ALT CAMP,"ANSELM CLAVE, 23",43800,Valls,Alt Camp,977-606361 /,,Associacions civils i culturals,Petanca
A00131,APA COL·LEGI SANT VICENC DE PAUL,"Hostafrancs, 13-15",08014,Barcelona,Barcelonès,93-4318800 /,,AMPA,Activitats físico-esportives
A00132,ASSOCIACIO ALUMNES I EXALUMNES ESCOLA TREBALL,"Creu de Cames, s/n",43800,Valls,Alt Camp,/,,Associacions civils i culturals,"Atletisme, Basquetbol, Espeleologia, Esports Hivern (veure esports neu gel trineu), Excursionisme"
